,Year,County,District,School
0,2025.0,Alameda,Castro Valley Unified,Independent Elementary
1,2025.0,Alameda,Dublin Unified,Harold William Kolb
2,2025.0,Alameda,Fremont Unified,John G. Mattos Elementary
3,2025.0,Alameda,Livermore Valley Joint Unified,Lawrence Elementary
4,2025.0,Alameda,New Haven Unified,Pioneer Elementary
5,2025.0,Alameda,Oakland Unified,Lincoln Elementary
6,2025.0,Alameda,Oakland Unified,Crocker Highlands Elementary
7,2025.0,Alameda,Oakland Unified,Peralta Elementary
8,2025.0,Alameda,Alameda Unified,Bay Farm
9,2025.0,Alameda,Alameda Unified,Love Elementary
10,2025.0,Alameda,Albany City Unified,Ocean View Elementary
11,2025.0,Alameda,Berkeley Unified,John Muir Elementary
12,2025.0,Alameda,Castro Valley Unified,Palomares Elementary
13,2025.0,Butte,Chico Unified,Nord Country
14,2025.0,Contra Costa,Lafayette Elementary,Happy Valley Elementary
15,2025.0,Contra Costa,Moraga Elementary,Los Perales Elementary
16,2025.0,Contra Costa,West Contra Costa Unified,West County Mandarin
17,2025.0,Contra Costa,Moraga Elementary,Donald L. Rheem Elementary
18,2025.0,Contra Costa,San Ramon Valley Unified,John Baldwin Elementary
19,2025.0,Contra Costa,San Ramon Valley Unified,Greenbrook Elementary
20,2025.0,Contra Costa,San Ramon Valley Unified,Neil A. Armstrong Elementary
21,2025.0,Contra Costa,San Ramon Valley Unified,Creekside Elementary
22,2025.0,El Dorado,Rescue Union Elementary,Jackson Elementary
23,2025.0,Fresno,Central Unified,Madison Elementary
24,2025.0,Fresno,Clovis Unified,Copper Hills Elementary
25,2025.0,Fresno,Fresno Unified,Mayfair Elementary
26,2025.0,Fresno,Kerman Unified,Goldenrod Elementary
27,2025.0,Fresno,Kings Canyon Joint Unified,Lincoln Elementary
28,2025.0,Fresno,Clovis Unified,Woods (Harold L.) Elementary
29,2025.0,Humboldt,Ferndale Unified,Ferndale Elementary
30,2025.0,Imperial,Holtville Unified,Pine Elementary
31,2025.0,Imperial,Imperial Unified,Ben Hulse Elementary
32,2025.0,Kern,Norris Elementary,Norris Elementary
33,2025.0,Kern,Panama-Buena Vista Union,Ronald Reagan Elementary
34,2025.0,Kern,Richland Union Elementary,Golden Oak Elementary
35,2025.0,Kern,Southern Kern Unified,Westpark Elementary
36,2025.0,Kings,Hanford Elementary,Martin Luther King Jr. Elementary
37,2025.0,Kings,Kings River-Hardwick Union Elementary,Kings River-Hardwick Elementary
38,2025.0,Los Angeles,ABC Unified,Cerritos Elementary
39,2025.0,Los Angeles,Arcadia Unified,Camino Grove Elementary
40,2025.0,Los Angeles,Arcadia Unified,Longley Way Elementary
41,2025.0,Los Angeles,Bonita Unified,Gladstone Elementary
42,2025.0,Los Angeles,Burbank Unified,Providencia Elementary
43,2025.0,Los Angeles,Claremont Unified,Chaparral Elementary
44,2025.0,Los Angeles,Claremont Unified,Sumner Elementary
45,2025.0,Los Angeles,Compton Unified,Tibby Elementary
46,2025.0,Los Angeles,Compton Unified,Roosevelt Elementary
47,2025.0,Los Angeles,Covina-Valley Unified,Manzanita Elementary
48,2025.0,Los Angeles,Culver City Unified,Linwood E. Howe Elementary
49,2025.0,Los Angeles,Culver City Unified,La Ballona Elementary
50,2025.0,Los Angeles,East Whittier City Elementary,Orchard Dale Elementary
51,2025.0,Los Angeles,El Monte City,Legore Elementary
52,2025.0,Los Angeles,El Rancho Unified,Birney Tech Academy
53,2025.0,Los Angeles,Garvey Elementary,Duff Language Magnet Academy
54,2025.0,Los Angeles,Glendale Unified,Verdugo Woodlands Elementary
55,2025.0,Los Angeles,Hacienda la Puente Unified,Wedgeworth Elementary
56,2025.0,Los Angeles,Las Virgenes Unified,Bay Laurel Elementary
57,2025.0,Los Angeles,Las Virgenes Unified,Sumac Elementary
58,2025.0,Los Angeles,Las Virgenes Unified,Willow Elementary
59,2025.0,Los Angeles,Lawndale Elementary,William Anderson Elementary
60,2025.0,Los Angeles,Los Angeles County Office of Education,Lashon Academy
61,2025.0,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy
62,2025.0,Los Angeles,Los Angeles Unified,Franklin Avenue Elementary
63,2025.0,Los Angeles,Los Angeles Unified,Beckford Charter for Enriched Studies
64,2025.0,Los Angeles,Los Angeles Unified,Third Street Elementary
65,2025.0,Los Angeles,Los Angeles Unified,Community Magnet Charter Elementary
66,2025.0,Los Angeles,Los Angeles Unified,Warner Avenue Elementary
67,2025.0,Los Angeles,Los Angeles Unified,Open Charter Magnet
68,2025.0,Los Angeles,Los Angeles Unified,Castle Heights Elementary
69,2025.0,Los Angeles,Los Angeles Unified,Hesby Oaks Leadership Charter
70,2025.0,Los Angeles,Los Angeles Unified,Colfax Charter Elementary
71,2025.0,Los Angeles,Los Angeles Unified,Porter Ranch Community
72,2025.0,Los Angeles,Los Angeles Unified,Carpenter Community Charter
73,2025.0,Los Angeles,Los Angeles Unified,Kentwood Elementary
74,2025.0,Los Angeles,Los Angeles Unified,ICEF Vista Elementary Academy
75,2025.0,Los Angeles,Los Angeles Unified,Multnomah Street Elementary
76,2025.0,Los Angeles,Los Angeles Unified,Sierra Vista Elementary
77,2025.0,Los Angeles,Los Angeles Unified,San Jose Street Elementary
78,2025.0,Los Angeles,Los Angeles Unified,ISANA Palmati Academy
79,2025.0,Los Angeles,Los Angeles Unified,Stagg Street Elementary
80,2025.0,Los Angeles,Los Angeles Unified,Allesandro Elementary
81,2025.0,Los Angeles,Los Angeles Unified,Panorama City Elementary
82,2025.0,Los Angeles,Los Angeles Unified,Newcastle Elementary
83,2025.0,Los Angeles,Los Angeles Unified,Jaime Escalante Elementary
84,2025.0,Los Angeles,Los Angeles Unified,Hoover Street Elementary
85,2025.0,Los Angeles,Los Angeles Unified,Rockdale Visual & Performing Arts Magnet
86,2025.0,Los Angeles,Los Angeles Unified,Gates Street Elementary
87,2025.0,Los Angeles,Los Angeles Unified,Annalee Avenue Elementary
88,2025.0,Los Angeles,Los Angeles Unified,City Terrace Elementary
89,2025.0,Los Angeles,Los Angeles Unified,Dorris Place Elementary
90,2025.0,Los Angeles,Los Angeles Unified,PUC Community Charter Elementary
91,2025.0,Los Angeles,Los Angeles Unified,Brockton Avenue Elementary
92,2025.0,Los Angeles,Los Angeles Unified,Brooklyn Avenue
93,2025.0,Los Angeles,Los Angeles Unified,Figueroa Street Elementary
94,2025.0,Los Angeles,Los Angeles Unified,One Hundred Twenty-Second Street Elementary
95,2025.0,Los Angeles,Los Angeles Unified,ISANA Cardinal Academy
96,2025.0,Los Angeles,Los Angeles Unified,N.E.W. Academy of Science and Arts
97,2025.0,Los Angeles,Los Angeles Unified,Aragon Avenue Elementary
98,2025.0,Los Angeles,Los Angeles Unified,ISANA Octavia Academy
99,2025.0,Los Angeles,Los Angeles Unified,Magnolia Science Academy 7
100,2025.0,Los Angeles,Los Angeles Unified,Gledhill Street Elementary
101,2025.0,Los Angeles,Los Angeles Unified,Alexandria Avenue Elementary
102,2025.0,Los Angeles,Los Angeles Unified,Chase Street Elementary
103,2025.0,Los Angeles,Los Angeles Unified,Coldwater Canyon Elementary
104,2025.0,Los Angeles,Los Angeles Unified,Malabar Street Elementary
105,2025.0,Los Angeles,Los Angeles Unified,Nevin Avenue Elementary
106,2025.0,Los Angeles,Los Angeles Unified,Tulsa Street Elementary
107,2025.0,Los Angeles,Los Angeles Unified,Bonita Street Elementary
108,2025.0,Los Angeles,Los Angeles Unified,Hubbard Street Elementary
109,2025.0,Los Angeles,Los Angeles Unified,Rosemont Avenue Elementary
110,2025.0,Los Angeles,Los Angeles Unified,Reseda Elementary
111,2025.0,Los Angeles,Los Angeles Unified,Soto Street Elementary
112,2025.0,Los Angeles,Los Angeles Unified,Danube Avenue Elementary
113,2025.0,Los Angeles,Los Angeles Unified,Westside Global Awareness Magnet
114,2025.0,Los Angeles,Los Angeles Unified,Seventh Street Elementary Arts Integration Magnet
115,2025.0,Los Angeles,Los Angeles Unified,Vermont Avenue Elementary
116,2025.0,Los Angeles,Manhattan Beach Unified,Pacific Elementary
117,2025.0,Los Angeles,Newhall,Old Orchard Elementary
118,2025.0,Los Angeles,Newhall,Meadows Elementary
119,2025.0,Los Angeles,Newhall,Pico Canyon Elementary
120,2025.0,Los Angeles,Palos Verdes Peninsula Unified,Cornerstone at Pedregal Elementary
121,2025.0,Los Angeles,Palos Verdes Peninsula Unified,Silver Spur Elementary
122,2025.0,Los Angeles,Palos Verdes Peninsula Unified,Montemalaga Elementary
123,2025.0,Los Angeles,Paramount Unified,Howard Tanner
124,2025.0,Los Angeles,Pasadena Unified,Field (Eugene) Elementary
125,2025.0,Los Angeles,Pasadena Unified,Sierra Madre Elementary
126,2025.0,Los Angeles,Pasadena Unified,Altadena Elementary
127,2025.0,Los Angeles,Pomona Unified,Pantera Elementary
128,2025.0,Los Angeles,Pomona Unified,Golden Springs Elementary
129,2025.0,Los Angeles,Redondo Beach Unified,Birney Elementary
130,2025.0,Los Angeles,Redondo Beach Unified,Jefferson Elementary
131,2025.0,Los Angeles,Redondo Beach Unified,Lincoln Elementary
132,2025.0,Los Angeles,Rosemead Elementary,Emma W. Shuey Elementary
133,2025.0,Los Angeles,San Gabriel Unified,Wilson Elementary
134,2025.0,Los Angeles,San Marino Unified,Valentine Elementary
135,2025.0,Los Angeles,Santa Monica-Malibu Unified,Edison Elementary
136,2025.0,Los Angeles,Saugus Union,Cedarcreek Elementary
137,2025.0,Los Angeles,Saugus Union,Rosedell Elementary
138,2025.0,Los Angeles,Saugus Union,Plum Canyon Elementary
139,2025.0,Los Angeles,Saugus Union,Mountainview Elementary
140,2025.0,Los Angeles,Saugus Union,West Creek Academy
141,2025.0,Los Angeles,Saugus Union,North Park Elementary
142,2025.0,Los Angeles,South Pasadena Unified,Marengo Elementary
143,2025.0,Los Angeles,South Pasadena Unified,Monterey Hills Elementary
144,2025.0,Los Angeles,Sulphur Springs Union,Leona H. Cox Community Elementary
145,2025.0,Los Angeles,Torrance Unified,Yukon Elementary
146,2025.0,Los Angeles,Torrance Unified,John Adams Elementary
147,2025.0,Los Angeles,Torrance Unified,Towers Elementary
148,2025.0,Los Angeles,Torrance Unified,Arlington Elementary
149,2025.0,Los Angeles,Walnut Valley Unified,Walnut Elementary
150,2025.0,Los Angeles,West Covina Unified,Merced Elementary
151,2025.0,Los Angeles,West Covina Unified,San Jose Charter Academy
152,2025.0,Los Angeles,West Covina Unified,Orangewood Elementary
153,2025.0,Los Angeles,Whittier City,Mill School and Technology Academy
154,2025.0,Los Angeles,Long Beach Unified,Henry
155,2025.0,Los Angeles,Long Beach Unified,Fremont Elementary
156,2025.0,Marin,Novato Unified,Pleasant Valley Elementary
157,2025.0,Marin,Novato Unified,San Ramon Elementary
158,2025.0,Marin,Novato Unified,Loma Verde Elementary
159,2025.0,Marin,Ross Valley Elementary,Brookside Elementary
160,2025.0,Marin,Ross Valley Elementary,Hidden Valley Elementary
161,2025.0,Merced,Los Banos Unified,Grasslands Elementary
162,2025.0,Merced,Weaver Union,Pioneer Elementary
163,2025.0,Monterey,Soledad Unified,Rose Ferrero Elementary
164,2025.0,Monterey,Soledad Unified,Gabilan Elementary
165,2025.0,Monterey,Soledad Unified,Jack Franscioni Elementary
166,2025.0,Monterey,Spreckels Union Elementary,Spreckels Elementary
167,2025.0,Monterey,Washington Union Elementary,Washington Elementary
168,2025.0,Napa,Napa Valley Unified,Donaldson Way Elementary
169,2025.0,Orange,Anaheim Elementary,Jefferson (Thomas) Elementary
170,2025.0,Orange,Brea-Olinda Unified,Olinda Elementary
171,2025.0,Orange,Capistrano Unified,Oso Grande Elementary
172,2025.0,Orange,Capistrano Unified,Philip J. Reilly Elementary
173,2025.0,Orange,Capistrano Unified,Truman Benedict Elementary
174,2025.0,Orange,Fullerton Elementary,Beechwood Elementary
175,2025.0,Orange,Fullerton Elementary,Robert C. Fisler Elementary
176,2025.0,Orange,Garden Grove Unified,Excelsior Elementary
177,2025.0,Orange,Garden Grove Unified,Loyal Barker Elementary
178,2025.0,Orange,Garden Grove Unified,A. G. Cook Elementary
179,2025.0,Orange,Garden Grove Unified,Patton Elementary
180,2025.0,Orange,Garden Grove Unified,Susan B. Anthony Elementary
181,2025.0,Orange,Garden Grove Unified,Merton E. Hill Elementary
182,2025.0,Orange,Garden Grove Unified,Brookhurst Elementary
183,2025.0,Orange,Garden Grove Unified,Louis G. Zeyen Elementary
184,2025.0,Orange,Garden Grove Unified,Ocia A. Peters Elementary
185,2025.0,Orange,Garden Grove Unified,Dwight D. Eisenhower Elementary
186,2025.0,Orange,Huntington Beach City Elementary,Ralph E. Hawes Elementary
187,2025.0,Orange,Irvine Unified,Plaza Vista
188,2025.0,Orange,Irvine Unified,Bonita Canyon Elementary
189,2025.0,Orange,Irvine Unified,Eastshore Elementary
190,2025.0,Orange,Irvine Unified,Portola Springs Elementary
191,2025.0,Orange,La Habra City Elementary,Arbolita Elementary
192,2025.0,Orange,Los Alamitos Unified,Rossmoor Elementary
193,2025.0,Orange,Newport-Mesa Unified,Heinz Kaiser Elementary
194,2025.0,Orange,Newport-Mesa Unified,Adams Elementary
195,2025.0,Orange,Orange County Department of Education,Irvine International Academy
196,2025.0,Orange,Orange County Department of Education,Oxford Preparatory Academy - Saddleback Valley
197,2025.0,Orange,Orange Unified,Nohl Canyon Elementary
198,2025.0,Orange,Orange Unified,Taft Elementary
199,2025.0,Orange,Placentia-Yorba Linda Unified,Golden Elementary
200,2025.0,Orange,Placentia-Yorba Linda Unified,Sierra Vista Elementary
201,2025.0,Orange,Placentia-Yorba Linda Unified,Lakeview Elementary
202,2025.0,Orange,Saddleback Valley Unified,De Portola Elementary
203,2025.0,Orange,Saddleback Valley Unified,Robinson Elementary
204,2025.0,Orange,Saddleback Valley Unified,Rancho Canada Elementary
205,2025.0,Orange,Saddleback Valley Unified,Santiago STEAM Magnet Elementary
206,2025.0,Orange,Santa Ana Unified,Fremont Elementary
207,2025.0,Orange,Tustin Unified,Arroyo Elementary
208,2025.0,Orange,Tustin Unified,Tustin Ranch Elementary
209,2025.0,Orange,Tustin Unified,Ladera Elementary
210,2025.0,Orange,Tustin Unified,Red Hill Elementary
211,2025.0,Orange,Tustin Unified,Orchard Hills
212,2025.0,Orange,Tustin Unified,Benjamin F. Beswick Elementary
213,2025.0,Placer,Eureka Union,Maidu Elementary
214,2025.0,Placer,Loomis Union Elementary,H. Clarke Powers Elementary
215,2025.0,Placer,Loomis Union Elementary,Penryn Elementary
216,2025.0,Placer,Rocklin Unified,Maria Montessori Charter Academy
217,2025.0,Placer,Rocklin Unified,Ruhkala Elementary
218,2025.0,Placer,Western Placer Unified,First Street Elementary
219,2025.0,Placer,Roseville City Elementary,William Kaseberg Elementary
220,2025.0,Riverside,Beaumont Unified,Starlight Elementary
